,NOD32,SUPERAntiSpyware,Acronis,TrendMicro-HouseCall,Command,eGambit,Baidu-International,Antiy-AVL,Paloalto,SymantecMobileInsight,Babable,DrWeb,F-Prot,CAT-QuickHeal,Zoner,McAfee,Invincea,SecureWeb-Gateway,TACHYON,FireEye,CrowdStrike,NOD32Beta,AVware,AhnLab-V3,Baidu,AhnLab,K7GW,Authentium,Cynet,NOD32v2,VIRobot,McAfee-GW-Edition,MaxSecure,AVG,Tencent,VirusBuster,VIPRE,TheHacker,AntiVir,TrendMicro,UNA,Norman,Cybereason,eTrust-InoculateIT,McAfee+Artemis,PCTools,Endgame,Elastic,PandaBeta2,CyrenCloud,Avast,Fortinet,Prevx1,AegisLab,McAfeeBeta,eTrust-Vet,Agnitum,Ikarus,ESET-NOD32,VBA32,BitDefenderTheta,Kaspersky,Arcabit,Bkav,ZoneAlarm,a-squared,ahnlab,NANO-Antivirus, CarpeDiem (v),DrWebSE,PandaB3,Comodo,Panda,ViRobot,PandaBeta,eScan,Prevx,Cylance,T3,Gridinsoft,Alibaba,Kaspersky21,Malwarebytes3,Avast-Mobile,Sunbelt,CMC,Jiangmin,MicroWorld-eScan,eSafe,Kingsoft,Emsisoft,Zillya,ByteHero,Avira,Yandex,APEX,F-Prot4,K7AntiVirus,Symantec,ALYac,ClamAV,Trapmine,SophosML,nProtect,Webwasher-Gateway,Antivir7,Microsoft,Cyren,Sangfor,Malwarebytes,TotalDefense,MAX,Sophos,WhiteArmor,Webroot,Trustlook,Avast5,F-Secure,FileAdvisor,SentinelOne,Qihoo-360,BitDefender,Ewido,Commtouch,GData,BitDefenderFalx,SAVMail,Ad-Aware,FortinetBeta,Rising
Jiangmin,1.517e-05,0.0,0.0,0.0,0.0,1.59e-06,5.288e-05,2.47e-05,0.0,0.0,0.0,5.24e-06,2.67e-06,0.00143817,1.56e-06,2.9e-07,0.0,3.17e-06,0.0,3.6e-07,0.0,6.33e-06,1.57e-06,5.382e-05,0.0,0.0,0.0,0.0,0.0,3.17e-06,0.0,1.033e-05,9.82e-06,4.159e-05,1.02e-05,0.0,1.56e-06,0.00364537,2.936e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.46e-06,0.0,0.0,0.0,0.0,0.0,6.05e-06,0.0,0.0,0.0,1.709e-05,2.33e-06,2.145e-05,4.029e-05,0.00070295,0.0,7.577e-05,1.95e-06,0.0,6.475e-05,0.0,0.0,0.0,0.0,0.0,1.59e-06,6.73e-06,1.393e-05,0.0,1.59e-06,0.0,0.0,0.0,1.59e-06,0.0,0.0,1.59e-06,0.0,0.0,4.73e-06,0.0,1.0,2.49e-06,4.69e-06,0.0,0.0,0.0,0.0,5.92e-06,0.0,0.0,0.0,8e-06,0.0,5.2e-06,0.0,0.0,0.0,1.03e-06,1.59e-06,0.0,0.0,3.68e-06,6.33e-06,9.3e-06,5.839e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.3e-06,0.0,0.0,1.34e-06,1.54e-06,1.905e-05,1.42e-06,3.14e-06,1.59e-06,0.0,8.8e-07,0.0,2.633e-05
MicroWorld-eScan,0.0,0.0,0.0,0.0,0.0,0.0,1.101e-05,0.0,0.0,0.0,0.0,0.00014752,7.17e-06,7.306e-05,4.576e-05,0.0,0.0,2.944e-05,0.0,0.01300894,0.0,0.0,2.23e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.207e-05,1.514e-05,0.0,8.2e-07,0.00011834,8.7e-05,0.0,0.0,0.0,1.73e-06,0.0,0.0,0.0,1.67e-06,4.297e-05,0.0,0.0,1.74e-06,0.0,0.0,2.58e-06,1.74e-06,1.48e-06,0.0,0.0,0.00015378,0.00043526,1.35e-06,7.484e-05,0.00040829,2.02e-06,0.08871106,0.0,2.61e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.431e-05,0.0,5.528e-05,0.0,0.00252526,0.0,0.0,1.74e-06,0.0,0.0,0.0,0.0,0.0,0.00030293,0.0,2.49e-06,1.0,8.513e-05,1.815e-05,0.0,0.0,0.0,1.26e-06,0.00012479,0.0,0.0,0.0,3.046e-05,0.56857283,8.27e-06,0.0,0.0,0.07940739,3.982e-05,0.0,0.0,5.25e-06,1.382e-05,0.00012495,4.74e-06,0.0,0.0,0.0,3.41e-06,0.0,0.0,0.37771228,0.0,0.0,1.44e-06,0.8535745,8.66e-06,3.07e-06,0.72084059,1.908e-05,0.0,0.87463008,0.0,4.04e-06
eSafe,0.0,0.0,0.0,0.0,0.0,0.0,6.738e-05,9.995e-05,0.0,0.0,0.0,3.266e-05,0.0,3.781e-05,0.00087747,7e-07,0.0,0.00271783,0.0,7.74e-06,0.0,0.0,5.537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.902e-05,5.151e-05,0.0,3.38e-06,1.674e-05,0.00036199,4.689e-05,0.0,0.0,0.0,0.00052315,0.0,0.0,0.0,0.0,0.0004752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011594,0.00292473,0.0,0.00045664,0.0,0.00010118,0.00010074,0.0,0.00014932,0.0,0.0,0.0,0.0,0.0,0.0,5.922e-05,0.0,9.703e-05,0.0,0.00051875,0.0,0.0,0.00026413,0.0,0.0,0.0,0.0,0.0,0.00080118,0.0,4.69e-06,8.513e-05,1.0,0.0,0.0,0.0,0.0,0.0,5.416e-05,0.0,0.0,6.779e-05,3.831e-05,0.00011612,0.0,0.0,0.0,0.00013518,0.00243385,0.0,0.0,0.0,7.224e-05,3.651e-05,0.0,0.0,0.0,0.0,0.00014182,0.0,0.0,0.00017724,0.0,0.0,0.0,9.716e-05,0.0,0.0,0.00011729,0.0,0.0,9.251e-05,0.0,4.453e-05
Kingsoft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.374e-05,0.0,0.0,2.275e-05,0.0,0.0,0.0,0.0,4.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05e-06,0.0,0.0,0.0,2.078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.801e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.072e-05,1.858e-05,0.0,8.282e-05,0.0,0.0,1.409e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815e-05,0.0,1.0,0.0,0.0,0.0,0.0,5.6e-06,0.0,0.0,0.0,0.0,1.651e-05,0.0,0.0,0.0,2.674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.066e-05,0.0,0.0,0.0,1.719e-05,0.0,0.0,1.777e-05,0.0,0.0,1.674e-05,0.0,0.0
Emsisoft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00396879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zillya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ByteHero,0.0,0.0,0.0,0.0,0.0,0.0,1.658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55e-06,0.0,9.73e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18e-05,0.0,6.347e-05,0.0,1.932e-05,0.0,0.0,3.16e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.55e-06,0.0,0.0,0.0,0.0,0.0
Avira,0.0,4.47e-06,0.0,0.0,4.156e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.85e-06,0.0004222,9.68e-06,0.0,7.15e-06,0.0,0.0,0.0,4.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011392,0.0,0.0,0.0,1.761e-05,0.0,8e-06,0.0,0.0,0.0,5.589e-05,0.04864672,0.0,0.0,0.00018221,0.0,0.0,2.931e-05,0.0,0.0,0.0,0.0,4.64e-06,3.42e-06,0.00044317,0.0,0.0,1.391e-05,4.35e-06,2.24e-06,4.18e-06,1.313e-05,3.4e-06,0.0,0.0,1.64e-06,2.01e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035677,0.0,4.627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54e-06,0.0,5.92e-06,1.26e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.28e-06,0.0,0.0,0.0,4.12e-06,0.0,0.0,0.0,0.0,0.0001857,0.0,0.00029453,0.0,0.0,3.68e-06,0.0,3.403e-05,0.0,8.88e-06,0.0,0.0,2.787e-05,0.0,0.0,6.634e-05,1.13e-06,0.0,0.00035583,1.16e-06,0.0,0.0,0.0,7.42e-05,0.0
Yandex,1.87e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.767e-05,1.59e-06,1.832e-05,5.773e-05,0.0,0.0,2.563e-05,0.0,9.29e-06,0.0,0.0,1.95e-06,1.37e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332e-05,1.69e-06,1.26e-06,0.0,0.02156274,3.88e-06,0.0,0.0,0.0,3.95e-06,0.0,0.0,0.0,0.0,0.00097076,0.0,0.0,0.0,0.0,1.72e-06,1.42e-06,3.95e-06,0.0,0.0,0.0,0.05002325,2.833e-05,1.49e-06,2.567e-05,0.0,2.17e-06,0.00013311,0.0,2.88e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.854e-05,1.91e-06,4.392e-05,0.0,9.84e-06,0.0,0.0,1.98e-06,0.0,0.0,0.0,1.98e-06,0.0,7.83e-06,0.0,0.0,0.00012479,5.416e-05,5.6e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.728e-05,0.00013707,1.03e-05,0.0,0.0,9.063e-05,2.562e-05,0.0,0.0,1.45e-06,0.0,4.215e-05,0.0,0.0,1.8e-06,0.0,1.357e-05,0.0,0.0,0.00011409,0.0,0.0,0.0,0.00012779,0.0,0.0,0.00012684,0.0,0.0,0.00012631,0.0,5.14e-06
APEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F-Prot4,0.0,0.0,0.0,0.0,0.01867816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00101475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01211513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.487e-05,0.0,0.0,1.193e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00502513,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00456621,0.0,0.00028441,0.0,0.00297324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28e-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102212,0.0,0.0,0.0,0.0,0.00606061,0.0
K7AntiVirus,0.0,7.7e-06,0.0,0.0,0.0,0.0,0.00064571,6.413e-05,0.0,0.0,0.0,0.0,4.12e-06,2.314e-05,0.0,3.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0004052,2.88e-06,3.92e-05,0.0,0.77065587,7.44e-06,0.0,0.0,0.0,9.6e-07,1.458e-05,4.92e-06,3.649e-05,0.0,0.00069169,0.0,0.0,0.0,2.463e-05,1.073e-05,0.0,0.0,0.0,2.359e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.464e-05,4.54e-06,0.0,0.0,0.0,0.00416733,0.0,0.01826405,0.0,0.0140582,1.93e-06,0.0,0.0026543,0.0,0.0,0.0,0.0,0.0,0.0,0.00064078,0.0,0.0,0.0,0.0,0.0,0.0,0.00018083,0.0,0.0,0.0,0.0,0.0,0.00932269,0.0,8e-06,0.0,6.779e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.33e-06,0.0,2.55e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.26e-06,5.638e-05,0.0,0.0,0.0,0.0,0.0,2.282e-05,0.0,0.0,0.00616267,0.0,0.0,1.682e-05,0.0,0.0,5.11e-06,0.00036263,0.0,0.0,0.0,0.0,7.397e-05
Symantec,0.0,0.00181113,0.0,0.0,0.0,0.0,3.91e-06,0.0,0.0,0.0,0.0,0.00021449,2.205e-05,0.00201425,0.0010101,4.52e-06,0.0,0.00012356,0.0,1.82e-06,0.0,0.0,0.00500069,0.0,0.0,0.00013446,7.85e-06,0.0,0.0,0.0,0.0,1.603e-05,1.009e-05,1.001e-05,0.0,3.703e-05,0.00644797,0.0,0.0,0.0,0.0003308,3.76e-06,0.0,0.0,2.603e-05,0.02851406,0.0,0.0,0.0,0.0,0.0,4.7e-06,0.00066344,5.275e-05,0.0,0.0,1.632e-05,0.00319489,0.0,0.00198311,0.0,0.0,3.166e-05,1.006e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.704e-05,2.35e-06,3.098e-05,0.0,6.366e-05,5.833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00013409,0.0,0.00358351,0.0,0.0,3.046e-05,3.831e-05,0.0,0.0,0.0,0.0,0.0,1.728e-05,0.0,0.0,7.33e-06,1.0,8.618e-05,0.00017165,0.0,0.0,2.509e-05,6.093e-05,0.0,0.0,9.98e-06,0.0,0.00508387,1.407e-05,0.0,0.00023421,0.0,0.0017772,0.0,0.0,3.094e-05,0.0,0.0,0.0,3.075e-05,0.00050419,1.122e-05,3.181e-05,0.0,0.0,3.445e-05,0.0,4.43e-06
ALYac,0.0,4.098e-05,0.0,0.0,0.0,0.0,1.393e-05,0.0,0.0,0.0,0.0,0.00012296,2.2e-06,0.00021975,0.00012388,0.0,0.0,4.483e-05,0.0,0.01184404,0.0,0.0,5.293e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.711e-05,1.676e-05,0.0,1.02e-06,0.00014523,0.00011941,0.0,0.0,0.0,6e-06,0.0,0.0,0.0,2.8e-06,0.00011214,0.0,0.0,3e-06,0.0,0.0,3.77e-06,9e-06,2.31e-06,0.0,0.0,0.00014907,0.00072315,0.0,0.00026957,0.00010505,0.0,0.10749675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016e-05,0.0,5.952e-05,0.0,0.00198573,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.00039035,0.0,5.2e-06,0.56857283,0.00011612,1.651e-05,0.0,0.0,0.0,0.0,0.00013707,0.0,0.0,0.0,8.618e-05,1.0,2.153e-05,0.0,0.0,0.02938382,5.675e-05,0.0,0.0,1.93e-06,1.191e-05,0.00038934,5.14e-06,0.0,0.0,0.0,3.205e-05,0.0,0.0,0.17447779,0.0,0.0,0.0,0.48937063,4.188e-05,0.0,0.4168036,3e-06,0.0,0.63970161,0.0,4.02e-06
ClamAV,0.0,8.603e-05,0.0,0.0,0.0,0.0,1.95e-06,0.0,0.0,0.0,0.0,4.865e-05,0.0,0.00028211,0.00014765,3.19e-06,0.0,7.35e-06,0.0,0.0,0.0,0.0,2.523e-05,0.0,0.0,0.0,0.0,7.05e-06,0.0,0.0,0.0,5.88e-06,5.64e-06,1.8e-06,0.0,2.969e-05,3.206e-05,0.0,7.67e-06,0.0,3.69e-06,1.92e-06,0.0,0.0,0.0,0.00011947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.871e-05,0.0,0.0,1.996e-05,0.00028882,0.0,0.0003294,0.0,0.0,4.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.265e-05,0.0,0.0,8.27e-06,0.0,0.0,0.0,0.0,0.0,4.12e-06,1.03e-05,0.0,0.0,2.55e-06,0.00017165,2.153e-05,1.0,0.0,0.0,9.76e-06,1.47e-05,0.0,0.0,0.0,0.00023427,0.00029995,0.0,0.0,0.0,0.0,0.00018538,0.0,0.0,1.294e-05,0.0,0.0,0.0,1.385e-05,1.104e-05,0.0,1.201e-05,0.0,0.0,5.14e-06,0.0,6.43e-06
Trapmine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SophosML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00272603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00050823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nProtect,0.0,0.0,0.0,0.0,0.0,0.0,5.13e-06,0.0,0.0,0.0,0.0,9.711e-05,8.6e-06,4.562e-05,4.472e-05,0.0,0.0,2.897e-05,0.0565475,0.00048558,0.0,0.0,2.281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91e-06,2.451e-05,1.168e-05,1.59e-06,1.01e-06,0.00013415,9.606e-05,0.0,0.0,0.0,2.91e-06,0.0,0.0,0.0,0.0,5.15e-05,0.0,0.0,0.0,0.0,0.0,1.85e-06,0.0,0.0,0.0,0.0,0.0001829,0.00047079,1.96e-06,8.048e-05,1.713e-05,1.32e-06,0.00783731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782e-05,0.0,4.896e-05,0.0,0.0029756,0.0,0.0,2.91e-06,0.0,0.0,0.0,0.0,0.0,0.00045305,0.0,1.03e-06,0.07940739,0.00013518,2.674e-05,0.0,0.0,0.0,0.0,9.063e-05,0.0,0.0,0.0,2.509e-05,0.02938382,9.76e-06,0.0,0.0,1.0,2.895e-05,0.0,0.0,3.78e-06,0.0,6.11e-05,5e-06,0.0,0.0,0.0,5.65e-06,0.0,0.0,0.10286577,0.0,0.0,0.0,0.0931378,8.7e-06,7.17e-06,0.09512001,0.0,0.0,0.06804919,0.0,4.97e-06
Webwasher-Gateway,0.0,0.00010103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11e-06,0.0,0.00019773,0.00058453,0.0,0.0,0.0744921,0.0,2.75e-06,0.0,0.0,0.00131563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00064725,0.00029286,1.165e-05,0.0,0.0,0.0002512,0.00111799,0.0,0.0,0.0,0.00112045,0.0,0.0,0.0,0.0,0.00182022,0.0,0.0,0.0,0.0,0.0,0.0,0.00114416,9.96e-06,0.0,0.0,5.608e-05,0.00126698,0.0,7.487e-05,0.0,0.0,4.782e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42e-06,0.0,5.898e-05,0.0,0.00105014,0.0,0.0,0.00059809,0.0,0.0,0.0,0.00063171,0.0,0.00306232,0.0,1.59e-06,3.982e-05,0.00243385,0.0,0.0,0.0,0.0,0.0,2.562e-05,0.0,0.0,0.0,6.093e-05,5.675e-05,1.47e-05,0.0,0.0,2.895e-05,1.0,0.0,0.0,0.0,0.0,0.00033898,0.0,0.0,0.0,0.0,0.00061071,0.0,0.0,4.367e-05,0.0,0.0,0.0,6.123e-05,0.00394945,0.0,4.174e-05,0.0,0.0,4.32e-05,0.0,4.52e-06
Antivir7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09e-06,0.0,0.0,0.0,0.0,0.0,7.01e-06,0.0010129,0.0,0.0,3.98e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00452489,0.0
Microsoft,7.29e-05,0.0,0.0,0.0,0.0,0.0,4.295e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001212,0.0,1.893e-05,0.0,0.0,0.0,0.0,0.0,0.00010123,0.0,0.0,0.0,1.857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.601e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.543e-05,0.0,0.0,2.944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.232e-05,0.0,0.0,0.0,0.02083333,0.0,0.0,5.55e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
